Mode,Condition,Trial,Cycles
ROB,Baseline,0,14869118
ROB,Baseline,1,14845308
ROB,Baseline,2,14846496
ROB,Baseline,3,14858670
ROB,Baseline,4,14838656
ROB,Baseline,5,14842794
ROB,Baseline,6,14844524
ROB,Baseline,7,14851798
ROB,Baseline,8,14841374
ROB,Baseline,9,14849492
Mode,Condition,Trial,Cycles
BTB,Baseline,0,201108508
BTB,Baseline,1,195975920
BTB,Baseline,2,196252620
BTB,Baseline,3,192753756
BTB,Baseline,4,183813712
BTB,Baseline,5,170432948
BTB,Baseline,6,185172938
BTB,Baseline,7,184954416
BTB,Baseline,8,191780988
BTB,Baseline,9,188338800
Mode,Condition,Trial,Cycles
ROB,Stress,0,22960298
ROB,Stress,1,144860208
ROB,Stress,2,150009946
ROB,Stress,3,118897758
ROB,Stress,4,134974428
ROB,Stress,5,110919086
ROB,Stress,6,150890856
ROB,Stress,7,60909186
ROB,Stress,8,115022748
ROB,Stress,9,114916586
Mode,Condition,Trial,Cycles
BTB,Stress,0,1437568364
BTB,Stress,1,1452689150
BTB,Stress,2,1536233924
BTB,Stress,3,1628759200
BTB,Stress,4,1650232998
BTB,Stress,5,1551659464
BTB,Stress,6,1591715858
BTB,Stress,7,1678611074
BTB,Stress,8,1628699592
BTB,Stress,9,1477644896
