Mode,Condition,Trial,Cycles
ROB,Baseline,0,20583355
ROB,Baseline,1,20803245
ROB,Baseline,2,19632409
ROB,Baseline,3,18570853
ROB,Baseline,4,17651149
ROB,Baseline,5,16139796
ROB,Baseline,6,15146680
ROB,Baseline,7,16147980
ROB,Baseline,8,17343040
ROB,Baseline,9,13706960
Mode,Condition,Trial,Cycles
ROB,Stress,0,11726800
ROB,Stress,1,11271517
ROB,Stress,2,10817062
ROB,Stress,3,10514279
ROB,Stress,4,13387741
ROB,Stress,5,17852400
ROB,Stress,6,16927062
ROB,Stress,7,18210471
ROB,Stress,8,20045046
ROB,Stress,9,18140896
Mode,Condition,Trial,Cycles
BTB,Baseline,0,140099528
BTB,Baseline,1,137695560
BTB,Baseline,2,137068280
BTB,Baseline,3,135706208
BTB,Baseline,4,136214008
BTB,Baseline,5,137617420
BTB,Baseline,6,138812264
BTB,Baseline,7,140537916
BTB,Baseline,8,137787592
BTB,Baseline,9,137127196
Mode,Condition,Trial,Cycles
BTB,Stress,0,140757550
BTB,Stress,1,137896216
BTB,Stress,2,138179764
BTB,Stress,3,135813708
BTB,Stress,4,136659576
BTB,Stress,5,135087792
BTB,Stress,6,133870244
BTB,Stress,7,136029756
BTB,Stress,8,134499944
BTB,Stress,9,136773300
