size,stride,cycles
4096,1,26168
4096,2,12688
4096,4,5800
4096,8,3600
4096,16,1720
4096,32,872
4096,64,386
4096,128,220
4096,256,130
4096,512,92
32768,1,187918
32768,2,96634
32768,4,51826
32768,8,27142
32768,16,13096
32768,32,6818
32768,64,2904
32768,128,1392
32768,256,790
32768,512,390
262144,1,1503714
262144,2,722786
262144,4,348622
262144,8,177592
262144,16,88756
262144,32,44804
262144,64,22742
262144,128,11912
262144,256,5762
262144,512,2898
1048576,1,5909174
1048576,2,2839664
1048576,4,1438194
1048576,8,711892
1048576,16,355262
1048576,32,178396
1048576,64,96768
1048576,128,45480
1048576,256,22838
1048576,512,11504
4194304,1,29261880
4194304,2,13359404
4194304,4,6794974
4194304,8,3173338
4194304,16,1563016
4194304,32,809540
4194304,64,432702
4194304,128,319620
4194304,256,172416
4194304,512,87340
16777216,1,134236936
16777216,2,66206654
16777216,4,30947670
16777216,8,12691186
16777216,16,6281990
16777216,32,3211798
16777216,64,1694074
16777216,128,1294644
16777216,256,685596
16777216,512,343764
67108864,1,556894218
67108864,2,355745434
67108864,4,178502600
67108864,8,96792574
67108864,16,52484432
67108864,32,29457242
67108864,64,16669464
67108864,128,8604664
67108864,256,4239216
67108864,512,2062886
