size,stride,cycles
4096,1,7975
4096,2,4015
4096,4,2095
4096,8,1050
4096,16,665
4096,32,295
4096,64,235
4096,128,135
4096,256,100
4096,512,90
32768,1,62495
32768,2,32515
32768,4,16325
32768,8,8115
32768,16,3935
32768,32,2115
32768,64,1005
32768,128,615
32768,256,380
32768,512,300
262144,1,474492
262144,2,236500
262144,4,118336
262144,8,62512
262144,16,39252
262144,32,36960
262144,64,36672
262144,128,19360
262144,256,10080
262144,512,5384
1048576,1,1975032
1048576,2,945220
1048576,4,494100
1048576,8,283864
1048576,16,181540
1048576,32,163280
1048576,64,162260
1048576,128,90348
1048576,256,47704
1048576,512,21132
4194304,1,7772308
4194304,2,3766066
4194304,4,1902928
4194304,8,1024554
4194304,16,686496
4194304,32,599696
4194304,64,595064
4194304,128,326880
4194304,256,175464
4194304,512,73428
16777216,1,27561212
16777216,2,13649488
16777216,4,7052144
16777216,8,4142088
16777216,16,3005472
16777216,32,2525476
16777216,64,2324824
16777216,128,1282196
16777216,256,691688
16777216,512,299440
67108864,1,107841584
67108864,2,55440728
67108864,4,30591900
67108864,8,21744708
67108864,16,18932604
67108864,32,19266668
67108864,64,18878004
67108864,128,12848532
67108864,256,7829084
67108864,512,3343356
