sparsity,trial,cycles
0.00,0,16125200
0.00,1,100135888
0.00,2,54133214
0.00,3,108131862
0.00,4,68123392
0.00,5,86134280
0.00,6,76131500
0.00,7,100129828
0.00,8,68133612
0.00,9,90127552
0.25,0,76137562
0.25,1,92129564
0.25,2,70126942
0.25,3,92125982
0.25,4,76140726
0.25,5,92134506
0.25,6,72126870
0.25,7,94122128
0.25,8,76136904
0.25,9,86123472
0.50,0,76134240
0.50,1,92136104
0.50,2,70123980
0.50,3,92127074
0.50,4,76130896
0.50,5,99828426
0.50,6,62137640
0.50,7,92144920
0.50,8,84131506
0.50,9,78124172
0.75,0,76122668
0.75,1,100103514
0.75,2,63782108
0.75,3,92137490
0.75,4,84138358
0.75,5,78135784
0.75,6,76140262
0.75,7,100128682
0.75,8,76124544
0.75,9,78129214
1.00,0,84124508
1.00,1,86125780
1.00,2,76105924
1.00,3,100138404
1.00,4,61795716
1.00,5,92126768
1.00,6,84123916
1.00,7,92120730
1.00,8,156133946
1.00,9,76134792
